Section;Table;Round;Board;PairNS;PairEW;Declarer;NS/EW;Contract;Result;LeadCard;Score
1;1;1;1;1;2;2;W;4 S;=;DQ;-420
1;2;1;1;3;4;4;W;4 S;=;DQ;-420
1;3;1;1;5;6;6;W;4 S;=;DQ;-420
1;3;1;2;5;6;6;W;5 D x;-3;CA;500
1;1;1;2;1;2;1;N;4 H;+1;C5;650
1;2;1;2;3;4;3;N;6 H;-1;C5;-100
1;3;1;3;5;6;5;N;4 H;-1;CA;-50
1;2;1;3;3;4;3;N;4 H;-1;CA;-50
1;1;1;3;1;2;1;N;4 H;-1;CA;-50
1;3;1;4;5;6;6;E;4 S;=;DA;-620
1;2;1;4;3;4;4;E;2 S;+2;DA;-170
1;1;1;4;1;2;2;E;3 S;+1;;-170
1;3;2;5;3;5;3;N;3 NT;=;CK;600
1;3;2;6;3;5;3;N;3 NT;=;H4;400
1;2;2;5;2;6;2;N;6 D;-3;CK;-300
1;1;2;5;1;4;1;N;3 D;=;CK;110
1;3;2;7;3;5;3;S;2 S;+2;CA;170
1;2;2;6;2;6;2;N;3 NT;=;H4;400
1;3;2;8;3;5;3;N;2 S x;+2;S4;670
1;1;2;6;1;4;1;N;2 D;+1;H4;110
1;2;2;7;2;6;6;W;1 NT x;-5;S7;1400
1;2;2;8;2;6;2;N;3 H;-3;H8;-150
1;1;2;7;1;4;4;W;3 H;=;S5;-140
1;1;2;8;1;4;1;N;3 S;=;HA;140
1;1;3;9;1;6;1;S;3 S;-4;HK;-200
1;3;3;9;2;3;2;N;1 NT;-4;C5;-200
1;1;3;10;1;6;6;W;4 H;=;C7;-620
