Section;Table;Round;Board;PairNS;PairEW;Declarer;NS/EW;Contract;Result;LeadCard;Score
1;1;1;1;1;2;2;E;1 NT;+1;H4;-120
1;3;1;1;5;6;6;E;1 NT;+1;DQ;-120
1;1;1;2;1;2;2;E;6 S;+1;D9;-1010
1;2;1;1;3;4;4;E;1 NT;=;DQ;-90
1;1;1;3;1;2;1;S;3 NT;+2;S6;460
1;3;1;2;5;6;6;E;6 S;+1;S4;-1010
1;1;1;4;1;2;1;N;2 H;-1;S7;-100
1;3;1;3;5;6;5;N;6 H;-1;SA;-50
1;3;1;4;5;6;6;E;5 C x;-1;HQ;200
1;2;2;5;2;6;2;S;3 D x;-2;HA;-500
1;2;1;2;3;4;4;W;7 S;=;HQ;-1510
1;2;1;3;3;4;4;E;2 S x;-1;DQ;200
1;2;1;4;3;4;3;N;4 H;-2;CA;-200
1;1;2;5;1;4;4;E;3 NT;+2;DK;-460
1;3;2;5;3;5;5;E;5 C;+1;S2;-420
1;3;2;5;3;5;;;;;;0
1;2;2;6;2;6;2;N;3 H x;+1;C2;630
1;1;2;6;1;4;4;W;5 D x;-11;CK;3200
1;3;2;6;3;5;5;E;5 D;-2;CQ;200
1;1;2;6;1;4;4;W;5 D x;-1;CK;200
1;3;2;6;3;5;;;;;;0
1;2;2;7;2;6;2;N;3 C;=;S9;110
1;3;2;7;3;5;5;W;2 S;+1;DA;-140
1;1;2;7;1;4;1;N;2 D;+1;S9;110
1;2;2;8;2;6;2;N;3 NT;-1;SJ;-50
1;1;2;8;1;4;1;N;2 H x;=;SA;470
