ID	Section	Table	Round	Board	PairNS	PairEW	Declarer	NS/EW	Contract	Result	LeadCard	Remarks	DateLog	TimeLog	Processed	Processed1	Processed2	Processed3	Processed4	Erased	custom_bs_score	custom_bs_declarer	South	West	custom_bs_scalepoint	custom_bs_scalepointmax
	1	2	1	1	3	4	3	S	5 H	=	SA		2017-03-29	18:14:25	-1	0	0	0	0	0	50	S	0	0		
	1	2	1	2	3	4	4	E	4 S	-1	DA		2017-03-29	18:22:36	-1	0	0	0	0	0	50	E	0	0		
	1	1	1	2	1	2	2	E	4 S	-1	DA		2017-03-29	18:24:20	-1	0	0	0	0	0	50	E	0	0		
	1	1	1	1	1	2	1	S	6 H	=	SA		2017-03-29	18:24:58	-1	0	0	0	0	0	550	S	0	0		
	1	3	1	1	5	6	5	S	6 H	=	SK		2017-03-29	18:29:07	-1	0	0	0	0	0	550	S	0	0		
	1	3	1	2	5	6	5	S	2 D	=	HK		2017-03-29	18:31:25	-1	0	0	0	0	0	50	S	0	0		
	1	1	1	3	1	2	1	N	1 NT	=	H9		2017-03-29	18:33:00	-1	0	0	0	0	0	50	N	0	0		
	1	2	1	3	3	4	3	N	4 S	-1	H9		2017-03-29	18:34:11	-1	0	0	0	0	0	-50	N	0	0		
	1	2	1	4	3	4	4	W	1 NT	-2	HT		2017-03-29	18:39:08	-1	0	0	0	0	0	200	W	0	0		
	1	1	1	4	1	2	2	W	1 NT	-2	H6		2017-03-29	18:40:33	-1	0	0	0	0	0	200	W	0	0		
	1	3	1	3	5	6	5	N	3 NT	=	H9		2017-03-29	18:41:38	-1	0	0	0	0	0	50	N	0	0		
	1	3	1	4	5	6	6	W	1 NT	-4	H9		2017-03-29	18:42:21	-1	0	0	0	0	0	400	W	0	0		
	1	1	2	5	1	4	1	N	3 NT	=	S3		2017-03-29	19:06:31	-1	0	0	0	0	0	50	N	0	0		
	1	3	2	5	3	5	5	E	4 D x	-7	S3		2017-03-29	19:12:17	-1	0	0	0	0	0	1700	E	0	0		
	1	2	2	5	2	6	2	N	3 NT	-1	S2		2017-03-29	19:14:37	-1	0	0	0	0	0	-100	N	0	0		
	1	1	2	6	1	4	1	N	2 NT	=	DA		2017-03-29	19:18:24	-1	0	0	0	0	0	50	N	0	0		
	1	1	2	6	1	4	1	N	2 NT	=	DA		2017-03-29	19:23:09	-1	0	0	0	0	0	50	N	0	0		
	1	2	2	6	2	6	2	N	1 NT	+1	DT		2017-03-29	19:23:40	-1	0	0	0	0	0	50	N	0	0		
	1	3	2	6	3	5	5	E	3 D	-2	C9		2017-03-29	19:25:11	-1	0	0	0	0	0	200	E	0	0		
	1	1	2	7	1	4	4	E	2 H	=	CK		2017-03-29	19:28:58	-1	0	0	0	0	0	-50	E	0	0		
	1	1	2	5	1	4	1	N	3 NT	=	S2		2017-03-29	19:29:38	-1	0	0	0	0	0	50	N	0	0		
	1	1	2	6	1	4	1	N	2 NT	=	DA		2017-03-29	19:30:30	-1	0	0	0	0	0	50	N	0	0		
	1	1	2	6	1	4	1	N	2 NT	=	DA		2017-03-29	19:30:31	-1	0	0	0	0	0	50	N	0	0		
	1	1	2	6	1	4	1	N	2 NT	=	DA		2017-03-29	19:30:31	-1	0	0	0	0	0	50	N	0	0		
	1	1	2	6	1	4	1	N	2 NT	=	DA		2017-03-29	19:30:48	-1	0	0	0	0	0	50	N	0	0		
	1	1	2	7	1	4	4	E	2 H	=	CK		2017-03-29	19:31:26	-1	0	0	0	0	0	-50	E	0	0		
	1	2	2	7	2	6	6	E	3 H x	-3	CK		2017-03-29	19:33:41	-1	0	0	0	0	0	800	E	0	0		
	1	3	2	7	3	5	5	E	4 H x	-3	S7		2017-03-29	19:37:41	-1	0	0	0	0	0	800	E	0	0		
	1	1	2	8	1	4	1	N	2 H	+1	HT		2017-03-29	19:38:04	-1	0	0	0	0	0	50	N	0	0		
	1	2	2	8	2	6	6	W	3 S x	-2	HK		2017-03-29	19:43:23	-1	0	0	0	0	0	300	W	0	0		
	1	3	2	8	3	5	3	N	3 H	-1	H3		2017-03-29	19:46:27	-1	0	0	0	0	0	-50	N	0	0		
	1	1	3	9	1	6	6	E	2 S	=	CQ		2017-03-29	20:03:07	-1	0	0	0	0	0	-50	E	0	0		
	1	3	3	9	2	3	2	S	2 S	=	CA		2017-03-29	20:04:39	-1	0	0	0	0	0	50	S	0	0		
	1	2	3	9	4	5	4	S	3 S	-1	CA		2017-03-29	20:07:04	-1	0	0	0	0	0	-50	S	0	0		
	1	1	3	10	1	6	1	N	1 S	+1	D7		2017-03-29	20:08:28	-1	0	0	0	0	0	50	N	0	0		
	1	2	3	10	4	5	4	S	3 S x	-1	C5		2017-03-29	20:12:46	-1	0	0	0	0	0	-200	S	0	0		
	1	3	3	10	2	3	2	N	3 H	-1	CA		2017-03-29	20:13:53	-1	0	0	0	0	0	-100	N	0	0		
	1	1	3	11	1	6	1	S	2 H	=	CQ		2017-03-29	20:16:03	-1	0	0	0	0	0	50	S	0	0		
	1	3	3	11	2	3	3	W	3 C	-1	H8		2017-03-29	20:21:21	-1	0	0	0	0	0	50	W	0	0		
	1	2	3	11	4	5	4	S	2 H	+1	CQ		2017-03-29	20:22:14	-1	0	0	0	0	0	50	S	0	0		
	1	1	3	12	1	6	6	W	2 S	-1	CK		2017-03-29	20:23:25	-1	0	0	0	0	0	50	W	0	0		
	1	2	3	12	4	5	5	W	2 S	-1	CK		2017-03-29	20:27:44	-1	0	0	0	0	0	50	W	0	0		
	1	3	3	12	2	3	2	N	3 NT	-3	SA		2017-03-29	20:29:59	-1	0	0	0	0	0	-300	N	0	0		
	1	3	4	13	4	2	2	W	4 S	-1	DA		2017-03-29	20:55:24	-1	0	0	0	0	0	100	W	0	0		
	1	1	4	13	1	5	5	E	2 H	+2	H5		2017-03-29	20:57:28	-1	0	0	0	0	0	-50	E	0	0		
	1	3	4	14	4	2	2	W	4 H	-2	H3		2017-03-29	21:05:13	-1	0	0	0	0	0	100	W	0	0		
	1	1	4	14	1	5	5	W	4 H x	-2	H2		2017-03-29	21:05:48	-1	0	0	0	0	0	300	W	0	0		
	1	1	4	15	1	5	1	N	4 H	=	S4		2017-03-29	21:12:38	-1	0	0	0	0	0	50	N	0	0		
	1	3	4	15	4	2	4	N	3 NT	=	C2		2017-03-29	21:16:18	-1	0	0	0	0	0	50	N	0	0		
	1	3	4	15	4	2	4	N	3 NT	+1	C2		2017-03-29	21:17:01	-1	0	0	0	0	0	50	N	0	0		
	1	1	4	16	1	5	1	N	3 NT	-1	HK		2017-03-29	21:18:50	-1	0	0	0	0	0	-50	N	0	0		
